Date,Channel,Campaign,Region,Audience,Budget,Impressions,Clicks,Conversions,Revenue,CTR,CVR,CPC,ROAS,ROI,Month,Month_Num,Quarter
2024-03-12,Email,Black Friday,East,45-54,792,164683,26876,2042,400086.68,16.32,7.6,0.03,505.16,50416.0,Mar,3,Q1
2024-03-12,Influencer,Spring Launch,East,25-34,12695,1803825,133322,7730,1792811.25,7.39,5.8,0.1,141.22,14022.2,Mar,3,Q1
2024-03-12,SEO,New Year,Central,55+,4882,276179,15709,1067,79769.2,5.69,6.79,0.31,16.34,1533.9,Mar,3,Q1
2024-03-14,Influencer,Summer Sale,North,18-24,6849,580241,44945,2304,272072.89,7.75,5.13,0.15,39.72,3872.4,Mar,3,Q1
2024-03-16,Social Media,New Year,East,25-34,4621,1110999,70117,2742,124499.13,6.31,3.91,0.07,26.94,2594.2,Mar,3,Q1
2024-03-16,Email,New Year,West,18-24,1039,82658,11102,798,116111.06,13.43,7.19,0.09,111.75,11075.3,Mar,3,Q1
2024-03-16,Email,Summer Sale,Central,25-34,1776,338499,51042,4233,338202.71,15.08,8.29,0.03,190.43,18942.9,Mar,3,Q1
2024-03-17,Google Ads,Brand Awareness,South,35-44,14716,1461756,80105,4481,694238.2,5.48,5.59,0.18,47.18,4617.6,Mar,3,Q1
2024-03-17,Email,Spring Launch,Central,35-44,2712,340319,52076,3912,969294.86,15.3,7.51,0.05,357.41,35641.0,Mar,3,Q1
2024-03-18,Social Media,Spring Launch,Central,55+,5697,524456,35562,1294,166807.9,6.78,3.64,0.16,29.28,2828.0,Mar,3,Q1
2024-03-18,Email,Brand Awareness,South,45-54,955,194368,26066,1999,239586.73,13.41,7.67,0.04,250.88,24987.6,Mar,3,Q1
2024-03-19,Social Media,New Year,West,25-34,7113,1565053,81836,3461,234506.22,5.23,4.23,0.09,32.97,3196.9,Mar,3,Q1
2024-03-19,Google Ads,Spring Launch,Central,55+,13443,3959545,103249,7125,732066.2,2.61,6.9,0.13,54.46,5345.7,Mar,3,Q1
2024-03-19,Social Media,Brand Awareness,East,45-54,4421,760761,54201,1701,292091.48,7.12,3.14,0.08,66.07,6506.9,Mar,3,Q1
2024-03-19,SEO,Brand Awareness,West,25-34,4590,1187261,87401,5476,254186.45,7.36,6.27,0.05,55.38,5437.8,Mar,3,Q1
2024-03-19,Google Ads,Brand Awareness,West,45-54,8246,1754604,56121,2712,483455.03,3.2,4.83,0.15,58.63,5762.9,Mar,3,Q1
2024-03-20,Email,Black Friday,West,25-34,2201,224139,36935,2829,356758.35,16.48,7.66,0.06,162.09,16108.9,Mar,3,Q1
2024-03-20,Email,New Year,North,35-44,664,166190,25908,2017,139655.75,15.59,7.79,0.03,210.32,20932.5,Mar,3,Q1
2024-03-20,Social Media,Brand Awareness,Central,25-34,7373,1381026,80468,3618,841635.41,5.83,4.5,0.09,114.15,11315.1,Mar,3,Q1
2024-03-20,Email,Brand Awareness,North,45-54,2730,209732,31619,2721,624535.29,15.08,8.61,0.09,228.77,22776.8,Mar,3,Q1
2024-03-21,Social Media,Summer Sale,West,25-34,5156,752402,37260,1730,255102.55,4.95,4.64,0.14,49.48,4847.7,Mar,3,Q1
2024-03-21,Social Media,Black Friday,Central,18-24,2545,447012,22366,867,171677.78,5.0,3.88,0.11,67.46,6645.7,Mar,3,Q1
2024-03-21,Google Ads,Black Friday,North,35-44,8866,641589,23958,1419,191511.43,3.73,5.92,0.37,21.6,2060.1,Mar,3,Q1
2024-03-21,Google Ads,Black Friday,South,55+,3402,325779,12471,774,178364.28,3.83,6.21,0.27,52.43,5142.9,Mar,3,Q1
2024-03-21,Google Ads,Summer Sale,South,35-44,14231,1588603,56933,3106,774516.65,3.58,5.46,0.25,54.42,5342.5,Mar,3,Q1
2024-03-22,Email,New Year,Central,55+,874,256458,37341,2959,483690.03,14.56,7.92,0.02,553.42,55242.1,Mar,3,Q1
2024-03-22,Email,Spring Launch,West,35-44,531,147927,21532,1933,409535.23,14.56,8.98,0.02,771.25,77025.3,Mar,3,Q1
2024-03-22,Google Ads,Brand Awareness,South,18-24,3143,847007,34054,2118,255101.84,4.02,6.22,0.09,81.17,8016.5,Mar,3,Q1
2024-03-22,SEO,Brand Awareness,West,35-44,1055,201549,7950,578,107797.91,3.94,7.27,0.13,102.18,10117.8,Mar,3,Q1
2024-03-23,Email,Brand Awareness,North,55+,1454,104229,14720,1194,185839.68,14.12,8.11,0.1,127.81,12681.3,Mar,3,Q1
2024-03-23,Google Ads,New Year,South,18-24,12873,1984330,73332,4628,688310.02,3.7,6.31,0.18,53.47,5246.9,Mar,3,Q1
2024-03-24,Email,Spring Launch,North,45-54,2310,373222,58183,4736,456516.0,15.59,8.14,0.04,197.63,19662.6,Mar,3,Q1
2024-03-24,Email,Brand Awareness,West,25-34,2602,479755,64918,5239,1305780.57,13.53,8.07,0.04,501.84,50083.7,Mar,3,Q1
2024-03-24,Google Ads,Summer Sale,East,45-54,8622,2476289,100390,7471,877879.46,4.05,7.44,0.09,101.82,10081.9,Mar,3,Q1
2024-03-24,Social Media,Summer Sale,North,18-24,6851,1022003,75702,2795,614881.41,7.41,3.69,0.09,89.75,8875.1,Mar,3,Q1
2024-03-25,Google Ads,Summer Sale,East,55+,3684,549741,29873,1724,338951.26,5.43,5.77,0.12,92.01,9100.6,Mar,3,Q1
2024-03-25,Email,Summer Sale,North,55+,897,69494,10124,801,126877.93,14.57,7.91,0.09,141.45,14044.7,Mar,3,Q1
2024-03-25,Email,Brand Awareness,North,45-54,2685,447369,71276,5921,562843.8,15.93,8.31,0.04,209.63,20862.5,Mar,3,Q1
2024-03-26,Google Ads,Black Friday,Central,55+,3013,782381,40513,2654,321608.51,5.18,6.55,0.07,106.74,10574.0,Mar,3,Q1
2024-03-26,Influencer,New Year,South,45-54,14544,3014335,266774,13895,1912921.56,8.85,5.21,0.05,131.53,13052.7,Mar,3,Q1
2024-03-27,Google Ads,New Year,North,18-24,11278,3305272,122769,7573,900021.94,3.71,6.17,0.09,79.8,7880.3,Mar,3,Q1
2024-03-28,Google Ads,Summer Sale,West,35-44,14393,2740688,98645,5808,498002.82,3.6,5.89,0.15,34.6,3360.0,Mar,3,Q1
2024-03-29,Google Ads,Spring Launch,South,18-24,3108,552310,19874,1253,226159.74,3.6,6.3,0.16,72.77,7176.7,Mar,3,Q1
2024-03-30,Influencer,Spring Launch,West,18-24,12128,3225230,191427,8350,523438.67,5.94,4.36,0.06,43.16,4216.0,Mar,3,Q1
2024-03-31,Google Ads,Spring Launch,West,35-44,7655,412094,10142,580,82771.99,2.46,5.72,0.75,10.81,981.3,Mar,3,Q1
2024-03-31,Google Ads,Brand Awareness,South,35-44,8421,778064,52524,3493,701218.43,6.75,6.65,0.16,83.27,8227.0,Mar,3,Q1
2024-03-31,Email,Summer Sale,South,18-24,2931,633165,104378,9054,779336.03,16.49,8.67,0.03,265.89,26489.4,Mar,3,Q1
2024-04-01,Google Ads,New Year,Central,18-24,9046,2564033,72768,4291,1037209.1,2.84,5.9,0.12,114.66,11365.9,Apr,4,Q2
2024-04-01,Google Ads,Spring Launch,South,25-34,10254,2447474,64448,3439,393796.36,2.63,5.34,0.16,38.4,3740.4,Apr,4,Q2
2024-04-01,Email,Brand Awareness,East,35-44,1931,338149,49658,3748,613250.93,14.69,7.55,0.04,317.58,31658.2,Apr,4,Q2
2024-04-01,Influencer,Black Friday,North,18-24,10653,2451875,146145,6704,465018.53,5.96,4.59,0.07,43.65,4265.1,Apr,4,Q2
2024-04-03,Influencer,Spring Launch,South,55+,13590,1261775,72238,3830,488410.3,5.73,5.3,0.19,35.94,3493.9,Apr,4,Q2
2024-04-03,Social Media,Summer Sale,East,35-44,7917,665274,39668,1430,320411.38,5.96,3.6,0.2,40.47,3947.1,Apr,4,Q2
2024-04-03,Google Ads,New Year,Central,45-54,6837,2016740,108553,6179,791329.42,5.38,5.69,0.06,115.74,11474.2,Apr,4,Q2
2024-04-04,Email,Spring Launch,Central,55+,2421,220525,32189,2484,290588.76,14.6,7.72,0.08,120.03,11902.8,Apr,4,Q2
2024-04-04,Email,Spring Launch,South,25-34,2613,391700,56619,4438,212679.24,14.45,7.84,0.05,81.39,8039.3,Apr,4,Q2
2024-04-05,Social Media,Brand Awareness,Central,18-24,4836,601616,38018,1534,350412.19,6.32,4.03,0.13,72.46,7145.9,Apr,4,Q2
2024-04-07,Social Media,Spring Launch,West,45-54,7591,1812285,117535,4151,786979.3,6.49,3.53,0.06,103.67,10267.3,Apr,4,Q2
2024-04-07,Email,Spring Launch,East,35-44,1164,295799,44702,3720,388695.01,15.11,8.32,0.03,333.93,33293.0,Apr,4,Q2
2024-04-07,Email,Spring Launch,South,45-54,1219,160008,23369,1734,154203.8,14.6,7.42,0.05,126.5,12550.0,Apr,4,Q2
2024-04-07,Email,Spring Launch,North,55+,2442,451342,75680,6020,1415046.11,16.77,7.95,0.03,579.46,57846.2,Apr,4,Q2
2024-04-07,SEO,New Year,West,25-34,3924,891473,40997,2807,661170.93,4.6,6.85,0.1,168.49,16749.4,Apr,4,Q2
2024-04-08,Email,Brand Awareness,North,35-44,943,58625,9521,766,102484.89,16.24,8.05,0.1,108.68,10768.0,Apr,4,Q2
2024-04-08,Google Ads,Brand Awareness,East,18-24,3076,548487,21071,1128,96951.46,3.84,5.35,0.15,31.52,3051.9,Apr,4,Q2
2024-04-08,Influencer,Brand Awareness,East,18-24,10772,1972191,160140,7945,568208.76,8.12,4.96,0.07,52.75,5174.9,Apr,4,Q2
2024-04-08,Email,Black Friday,South,55+,713,98930,15547,1282,216710.24,15.72,8.25,0.05,303.94,30294.1,Apr,4,Q2
2024-04-08,Social Media,Spring Launch,West,45-54,7972,1898696,142838,5073,415361.98,7.52,3.55,0.06,52.1,5110.3,Apr,4,Q2
2024-04-08,Social Media,New Year,East,18-24,6682,941011,69540,1990,376891.91,7.39,2.86,0.1,56.4,5540.4,Apr,4,Q2
2024-04-09,Email,Spring Launch,West,35-44,1614,157559,25615,2015,233284.76,16.26,7.87,0.06,144.54,14353.8,Apr,4,Q2
2024-04-09,Email,Black Friday,North,45-54,2291,369869,53426,4270,792683.64,14.44,7.99,0.04,346.0,34499.9,Apr,4,Q2
2024-04-10,Social Media,Black Friday,West,18-24,5804,723124,30828,1376,329175.82,4.26,4.46,0.19,56.72,5571.5,Apr,4,Q2
2024-04-11,Email,Brand Awareness,North,25-34,1046,180094,27165,2190,288904.91,15.08,8.06,0.04,276.2,27520.0,Apr,4,Q2
2024-04-11,Social Media,Black Friday,South,55+,7647,1484992,97815,3991,870266.85,6.59,4.08,0.08,113.81,11280.5,Apr,4,Q2
2024-04-11,Influencer,Spring Launch,East,45-54,15217,3274211,253272,13098,2304567.25,7.74,5.17,0.06,151.45,15044.7,Apr,4,Q2
2024-04-11,Email,Summer Sale,West,18-24,2015,561550,82900,7385,614177.96,14.76,8.91,0.02,304.8,30380.3,Apr,4,Q2
2024-04-11,Social Media,Black Friday,South,25-34,4586,638570,37104,1631,167208.29,5.81,4.4,0.12,36.46,3546.1,Apr,4,Q2
2024-04-12,Google Ads,Summer Sale,South,45-54,11733,812326,29858,1940,283388.49,3.68,6.5,0.39,24.15,2315.3,Apr,4,Q2
2024-04-12,Email,Black Friday,West,25-34,1461,389103,51873,4111,770320.14,13.33,7.93,0.03,527.26,52625.5,Apr,4,Q2
2024-04-12,Email,Summer Sale,South,45-54,2508,451654,65132,4882,388260.92,14.42,7.5,0.04,154.81,15380.9,Apr,4,Q2
2024-04-14,Google Ads,Summer Sale,West,18-24,3775,640881,31320,2007,165717.29,4.89,6.41,0.12,43.9,4289.9,Apr,4,Q2
2024-04-14,Social Media,Spring Launch,East,35-44,2000,569280,33494,1033,50582.11,5.88,3.08,0.06,25.29,2429.1,Apr,4,Q2
2024-04-15,SEO,New Year,South,35-44,1667,434480,17549,1158,258729.52,4.04,6.6,0.09,155.21,15420.7,Apr,4,Q2
2024-04-16,Social Media,New Year,Central,45-54,2970,369352,26640,1025,147840.35,7.21,3.85,0.11,49.78,4877.8,Apr,4,Q2
2024-04-17,Social Media,Brand Awareness,East,45-54,6387,1235759,83417,3682,149192.24,6.75,4.41,0.08,23.36,2235.9,Apr,4,Q2
2024-04-17,Social Media,Black Friday,South,35-44,3173,885370,57886,2311,573640.07,6.54,3.99,0.05,180.79,17978.8,Apr,4,Q2
2024-04-17,Google Ads,Brand Awareness,East,55+,12777,1663134,70142,4522,277198.59,4.22,6.45,0.18,21.7,2069.5,Apr,4,Q2
2024-04-17,Social Media,Black Friday,Central,18-24,3260,605789,38827,1589,340307.86,6.41,4.09,0.08,104.39,10338.9,Apr,4,Q2
2024-04-18,Email,Summer Sale,South,25-34,2579,739708,107052,8669,524445.4,14.47,8.1,0.02,203.35,20235.2,Apr,4,Q2
2024-04-18,Email,Spring Launch,East,35-44,2420,640065,92860,7165,1401462.59,14.51,7.72,0.03,579.12,57811.7,Apr,4,Q2
2024-04-18,Email,Black Friday,West,45-54,2716,396637,52148,3828,658415.41,13.15,7.34,0.05,242.42,24142.1,Apr,4,Q2
2024-04-18,Social Media,Black Friday,Central,35-44,5524,1556835,100287,3159,557561.64,6.44,3.15,0.06,100.93,9993.4,Apr,4,Q2
2024-04-18,Influencer,Brand Awareness,North,18-24,13182,3596483,310607,15594,1286299.52,8.64,5.02,0.04,97.58,9658.0,Apr,4,Q2
2024-04-18,Google Ads,Spring Launch,Central,35-44,8825,628234,23856,1271,299900.22,3.8,5.33,0.37,33.98,3298.3,Apr,4,Q2
2024-04-19,Google Ads,Black Friday,North,35-44,2100,433646,18575,1165,279424.14,4.28,6.27,0.11,133.06,13205.9,Apr,4,Q2
2024-04-19,Email,Black Friday,West,55+,2888,346358,54457,4554,303548.82,15.72,8.36,0.05,105.11,10410.7,Apr,4,Q2
2024-04-19,Google Ads,New Year,Central,18-24,3887,721171,28265,1721,162042.71,3.92,6.09,0.14,41.69,4068.8,Apr,4,Q2
2024-04-19,Influencer,Black Friday,East,35-44,11212,2468677,195633,9535,1488882.56,7.92,4.87,0.06,132.79,13179.4,Apr,4,Q2
2024-04-19,Email,Spring Launch,East,55+,2517,381896,57822,4283,253359.62,15.14,7.41,0.04,100.66,9965.9,Apr,4,Q2
2024-04-20,Google Ads,Spring Launch,West,18-24,4042,1177956,47835,2698,319311.79,4.06,5.64,0.08,79.0,7799.8,Apr,4,Q2
2024-04-20,Google Ads,Brand Awareness,North,35-44,14502,3361133,216774,11323,944226.42,6.45,5.22,0.07,65.11,6411.0,Apr,4,Q2
2024-04-21,Google Ads,New Year,West,35-44,7267,1678974,63281,3721,276611.17,3.77,5.88,0.11,38.06,3706.4,Apr,4,Q2
2024-04-21,Influencer,Brand Awareness,North,35-44,7330,1329436,116020,6113,1322306.34,8.73,5.27,0.06,180.4,17939.6,Apr,4,Q2
2024-04-21,Social Media,Black Friday,East,35-44,6732,1203990,76452,3071,586517.55,6.35,4.02,0.09,87.12,8612.4,Apr,4,Q2
2024-04-22,Social Media,Spring Launch,North,18-24,5177,1131217,87412,3994,670520.92,7.73,4.57,0.06,129.52,12851.9,Apr,4,Q2
2024-04-22,Influencer,Black Friday,West,35-44,6736,365668,30942,1521,183187.92,8.46,4.92,0.22,27.2,2619.5,Apr,4,Q2
2024-04-22,Social Media,Spring Launch,Central,25-34,3359,547552,38552,1582,290037.4,7.04,4.1,0.09,86.35,8534.6,Apr,4,Q2
2024-04-22,SEO,Black Friday,Central,25-34,3736,797878,54952,3370,195812.8,6.89,6.13,0.07,52.41,5141.2,Apr,4,Q2
2024-04-22,Email,New Year,Central,55+,1498,271773,42107,3497,305987.78,15.49,8.31,0.04,204.26,20326.4,Apr,4,Q2
2024-04-22,Influencer,Summer Sale,Central,25-34,6729,1946396,177160,8207,1013303.05,9.1,4.63,0.04,150.59,14958.7,Apr,4,Q2
2024-04-22,Google Ads,New Year,East,25-34,14034,1992895,86808,5943,785692.41,4.36,6.85,0.16,55.98,5498.5,Apr,4,Q2
2024-04-23,SEO,Black Friday,Central,35-44,1684,222337,9857,662,104763.4,4.43,6.72,0.17,62.21,6121.1,Apr,4,Q2
2024-04-23,Influencer,Black Friday,South,25-34,13140,2001030,180816,9017,463050.13,9.04,4.99,0.07,35.24,3424.0,Apr,4,Q2
2024-04-24,Email,Summer Sale,Central,45-54,1082,242202,42191,3526,479668.19,17.42,8.36,0.03,443.32,44231.6,Apr,4,Q2
2024-04-24,Google Ads,Black Friday,West,18-24,7277,1292350,55229,3422,489317.42,4.27,6.2,0.13,67.24,6624.2,Apr,4,Q2
2024-04-24,Influencer,Spring Launch,East,35-44,4864,1372579,84279,4339,936204.78,6.14,5.15,0.06,192.48,19147.6,Apr,4,Q2
2024-04-25,Google Ads,Summer Sale,Central,35-44,9269,2653790,89265,5677,983266.57,3.36,6.36,0.1,106.08,10508.1,Apr,4,Q2
2024-04-25,Email,Summer Sale,South,25-34,1144,287651,40271,3364,206092.57,14.0,8.35,0.03,180.15,17915.1,Apr,4,Q2
2024-04-25,Google Ads,Brand Awareness,West,55+,10189,1339815,42423,2509,538022.61,3.17,5.91,0.24,52.8,5180.4,Apr,4,Q2
2024-04-26,Email,New Year,South,18-24,1409,342507,54240,4050,271655.65,15.84,7.47,0.03,192.8,19180.0,Apr,4,Q2
2024-04-26,Google Ads,Spring Launch,North,35-44,3323,241699,9379,608,63779.9,3.88,6.48,0.35,19.19,1819.3,Apr,4,Q2
2024-04-26,Google Ads,Brand Awareness,North,55+,14460,2919376,31267,1939,312681.9,1.07,6.2,0.46,21.62,2062.4,Apr,4,Q2
2024-04-27,SEO,Black Friday,Central,18-24,1259,218717,13936,908,197724.54,6.37,6.52,0.09,157.05,15604.9,Apr,4,Q2
2024-04-27,Email,Spring Launch,Central,45-54,2187,507115,81802,6544,1279602.1,16.13,8.0,0.03,585.09,58409.5,Apr,4,Q2
2024-04-27,Google Ads,Summer Sale,East,18-24,2472,545032,17243,1083,147842.68,3.16,6.28,0.14,59.81,5880.7,Apr,4,Q2
2024-04-28,Google Ads,Summer Sale,Central,55+,8116,1044082,46616,2712,207976.17,4.46,5.82,0.17,25.63,2462.5,Apr,4,Q2
2024-04-28,Social Media,New Year,Central,45-54,4313,1072832,57669,1866,461907.38,5.38,3.24,0.07,107.1,10609.7,Apr,4,Q2
2024-04-28,Google Ads,Black Friday,West,18-24,4267,1033631,30971,1514,303329.18,3.0,4.89,0.14,71.09,7008.7,Apr,4,Q2
2024-04-29,Social Media,Summer Sale,East,25-34,7004,1235221,70813,3483,172884.65,5.73,4.92,0.1,24.68,2368.4,Apr,4,Q2
2024-04-29,Google Ads,Brand Awareness,East,18-24,8594,2554830,101481,6174,955328.87,3.97,6.08,0.08,111.16,11016.2,Apr,4,Q2
2024-04-29,Email,Summer Sale,South,45-54,2362,157801,23680,1794,242043.36,15.01,7.58,0.1,102.47,10147.4,Apr,4,Q2
2024-04-30,Email,Brand Awareness,South,45-54,2782,381692,64208,5127,296491.89,16.82,7.98,0.04,106.58,10557.5,Apr,4,Q2
2024-04-30,Social Media,Spring Launch,West,18-24,4439,1164506,61783,2288,170797.85,5.31,3.7,0.07,38.48,3747.7,Apr,4,Q2
2024-04-30,Social Media,New Year,East,45-54,4573,977030,68950,2962,193297.73,7.06,4.3,0.07,42.27,4126.9,Apr,4,Q2
2024-05-01,SEO,Spring Launch,South,25-34,1446,272290,17792,1111,166462.38,6.53,6.24,0.08,115.12,11411.9,May,5,Q2
2024-05-01,Email,Black Friday,East,35-44,1982,332395,54806,3683,190561.43,16.49,6.72,0.04,96.15,9514.6,May,5,Q2
2024-05-01,Email,New Year,Central,25-34,2986,276587,40278,2903,158139.62,14.56,7.21,0.07,52.96,5196.0,May,5,Q2
2024-05-02,Email,Spring Launch,Central,55+,2788,245630,36203,2911,423379.65,14.74,8.04,0.08,151.86,15085.8,May,5,Q2
2024-05-02,Google Ads,Spring Launch,North,25-34,2410,682646,30564,1720,124934.29,4.48,5.63,0.08,51.84,5084.0,May,5,Q2
2024-05-02,SEO,Spring Launch,North,25-34,3754,838490,40482,2606,561329.15,4.83,6.44,0.09,149.53,14852.8,May,5,Q2
2024-05-02,Google Ads,New Year,Central,25-34,10617,689874,27033,1712,258409.56,3.92,6.33,0.39,24.34,2333.9,May,5,Q2
2024-05-02,Social Media,Black Friday,West,45-54,5754,847501,48064,2203,260434.3,5.67,4.58,0.12,45.26,4426.1,May,5,Q2
2024-05-03,Email,Spring Launch,West,18-24,1178,92439,13794,1070,117246.96,14.92,7.76,0.09,99.53,9853.1,May,5,Q2
2024-05-03,Email,Brand Awareness,South,35-44,1992,439092,65116,5388,747922.72,14.83,8.27,0.03,375.46,37446.3,May,5,Q2
2024-05-03,Social Media,Summer Sale,East,45-54,1125,192445,11874,529,130792.78,6.17,4.46,0.09,116.26,11526.0,May,5,Q2
2024-05-04,Social Media,Spring Launch,Central,18-24,4842,535066,32659,1258,103234.35,6.1,3.85,0.15,21.32,2032.1,May,5,Q2
2024-05-04,Email,Brand Awareness,Central,18-24,1377,173728,23965,1976,157847.19,13.79,8.25,0.06,114.63,11363.1,May,5,Q2
2024-05-04,Social Media,Spring Launch,North,45-54,3091,768806,57905,2141,448523.76,7.53,3.7,0.05,145.11,14410.6,May,5,Q2
2024-05-04,Email,Summer Sale,South,25-34,2986,289763,44554,3550,290857.56,15.38,7.97,0.07,97.41,9640.7,May,5,Q2
2024-05-04,Social Media,New Year,South,45-54,6561,462612,24794,966,100605.55,5.36,3.9,0.26,15.33,1433.4,May,5,Q2
2024-05-05,Google Ads,Summer Sale,West,45-54,11768,982900,43134,2663,514743.36,4.39,6.17,0.27,43.74,4274.1,May,5,Q2
2024-05-05,Email,Brand Awareness,West,25-34,1588,263855,43880,3260,245555.87,16.63,7.43,0.04,154.63,15363.2,May,5,Q2
2024-05-05,Social Media,Spring Launch,East,18-24,6123,704588,27828,1220,103076.35,3.95,4.38,0.22,16.83,1583.4,May,5,Q2
2024-05-05,Influencer,Summer Sale,South,35-44,17864,2327534,189296,10128,2512170.29,8.13,5.35,0.09,140.63,13962.8,May,5,Q2
2024-05-05,Social Media,Brand Awareness,West,55+,1149,236990,15402,534,64901.15,6.5,3.47,0.07,56.48,5548.5,May,5,Q2
2024-05-06,Email,Brand Awareness,West,18-24,2116,170271,25103,2046,113991.67,14.74,8.15,0.08,53.87,5287.1,May,5,Q2
2024-05-06,Influencer,Summer Sale,East,45-54,6293,351112,22241,1232,150370.05,6.33,5.54,0.28,23.89,2289.5,May,5,Q2
2024-05-06,Social Media,Summer Sale,Central,45-54,2439,256871,12503,466,65106.31,4.87,3.73,0.2,26.69,2569.4,May,5,Q2
2024-05-06,Google Ads,Brand Awareness,East,45-54,13740,2590063,77146,4958,610982.91,2.98,6.43,0.18,44.47,4346.7,May,5,Q2
2024-05-06,Social Media,Summer Sale,West,35-44,6038,903127,63393,2949,627949.21,7.02,4.65,0.1,104.0,10300.0,May,5,Q2
2024-05-07,Influencer,Brand Awareness,West,35-44,6992,709311,50300,1850,318875.96,7.09,3.68,0.14,45.61,4460.6,May,5,Q2
2024-05-07,Influencer,Brand Awareness,West,55+,6494,1669427,116806,7314,880793.49,7.0,6.26,0.06,135.63,13463.2,May,5,Q2
2024-05-07,Influencer,Summer Sale,North,45-54,13106,1450156,113650,5810,683106.97,7.84,5.11,0.12,52.12,5112.2,May,5,Q2
2024-05-07,Social Media,Spring Launch,North,35-44,3248,751363,45779,1956,374105.47,6.09,4.27,0.07,115.18,11418.0,May,5,Q2
2024-05-07,Influencer,Brand Awareness,North,45-54,12883,2910804,154171,7020,1154292.26,5.3,4.55,0.08,89.6,8859.8,May,5,Q2
2024-05-07,Influencer,Black Friday,West,35-44,7153,1456753,101018,4863,977642.23,6.93,4.81,0.07,136.68,13567.6,May,5,Q2
2024-05-08,Google Ads,Spring Launch,East,45-54,13895,1266727,47142,2828,197957.58,3.72,6.0,0.29,14.25,1324.7,May,5,Q2
2024-05-08,SEO,Black Friday,Central,45-54,1214,199980,10414,695,32102.94,5.21,6.67,0.12,26.44,2544.4,May,5,Q2
2024-05-08,Social Media,Brand Awareness,North,35-44,5953,424124,22832,755,107822.45,5.38,3.31,0.26,18.11,1711.2,May,5,Q2
2024-05-09,Email,Spring Launch,North,18-24,1941,327786,54086,4044,592150.82,16.5,7.48,0.04,305.08,30407.5,May,5,Q2
2024-05-09,Google Ads,Brand Awareness,East,55+,12081,1340728,70705,3977,190284.81,5.27,5.62,0.17,15.75,1475.1,May,5,Q2
2024-05-10,Social Media,Spring Launch,North,45-54,1549,330531,21490,835,171399.01,6.5,3.89,0.07,110.65,10965.1,May,5,Q2
2024-05-11,Influencer,Spring Launch,South,55+,19428,1232203,91044,4469,825239.34,7.39,4.91,0.21,42.48,4147.7,May,5,Q2
2024-05-12,Social Media,Black Friday,Central,55+,4527,862987,40164,1791,397687.51,4.65,4.46,0.11,87.85,8684.8,May,5,Q2
2024-05-12,Social Media,New Year,East,35-44,5421,696846,32428,1325,124969.88,4.65,4.09,0.17,23.05,2205.3,May,5,Q2
2024-05-13,Email,Summer Sale,North,25-34,1118,177177,25425,1911,151860.47,14.35,7.52,0.04,135.83,13483.2,May,5,Q2
2024-05-13,SEO,Spring Launch,West,55+,2561,172239,6708,449,99112.52,3.89,6.69,0.38,38.7,3770.1,May,5,Q2
2024-05-13,Influencer,Spring Launch,West,45-54,15172,1731291,143111,6856,381771.98,8.27,4.79,0.11,25.16,2416.3,May,5,Q2
2024-05-14,Google Ads,Brand Awareness,West,55+,11368,1006620,35186,2228,539804.81,3.5,6.33,0.32,47.48,4648.5,May,5,Q2
2024-05-14,Social Media,Summer Sale,East,55+,6778,1273665,71910,2632,234695.98,5.65,3.66,0.09,34.63,3362.6,May,5,Q2
2024-05-14,Social Media,Brand Awareness,East,18-24,2769,495153,31101,1278,161690.47,6.28,4.11,0.09,58.39,5739.3,May,5,Q2
2024-05-15,Email,Brand Awareness,East,25-34,1368,134341,19961,1602,257146.12,14.86,8.03,0.07,187.97,18697.2,May,5,Q2
2024-05-15,Email,Summer Sale,South,25-34,2799,627095,95901,7739,576700.57,15.29,8.07,0.03,206.04,20503.8,May,5,Q2
2024-05-15,Social Media,Summer Sale,East,35-44,2871,437014,23161,748,177877.3,5.3,3.23,0.12,61.96,6095.7,May,5,Q2
2024-05-15,Influencer,New Year,South,35-44,10736,3022290,220010,12101,1141757.63,7.28,5.5,0.05,106.35,10534.9,May,5,Q2
2024-05-15,Social Media,Brand Awareness,Central,45-54,2534,211555,11128,493,53947.39,5.26,4.43,0.23,21.29,2028.9,May,5,Q2
2024-05-15,Email,New Year,Central,55+,898,242100,33447,2580,295941.42,13.82,7.71,0.03,329.56,32855.6,May,5,Q2
2024-05-15,Email,Black Friday,West,45-54,1130,279780,41077,2933,673997.7,14.68,7.14,0.03,596.46,59545.8,May,5,Q2
2024-05-15,Google Ads,Black Friday,North,55+,9141,1834191,53026,3272,314576.77,2.89,6.17,0.17,34.41,3341.4,May,5,Q2
2024-05-15,Google Ads,Spring Launch,Central,25-34,9222,2053048,56247,3679,604294.5,2.74,6.54,0.16,65.53,6452.7,May,5,Q2
2024-05-15,Email,Black Friday,West,18-24,2056,240280,34376,2371,114670.19,14.31,6.9,0.06,55.77,5477.3,May,5,Q2
2024-05-15,Google Ads,Black Friday,Central,45-54,12765,2217822,98984,6667,1459537.86,4.46,6.74,0.13,114.34,11333.9,May,5,Q2
2024-05-16,Influencer,Spring Launch,North,25-34,18138,2711785,180713,9372,1816968.81,6.66,5.19,0.1,100.17,9917.5,May,5,Q2
2024-05-16,Social Media,Brand Awareness,Central,18-24,4752,330386,20440,689,144210.56,6.19,3.37,0.23,30.35,2934.7,May,5,Q2
